page	event	quadrant	sample_name	position	oscillating_cn_2&3_states	cn_segments	image_path
158	4	Lower_Right	CGP_donor_1451422		57, 1		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_158_part_4.png
159	1	Upper_Left	a3be445a-a592-4073-815b-47ae41f9c4a0		77, 3		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_159_part_1.png
159	2	Upper_Right	941f75a1-fea4-4539-ba69-60bb11608f6d		68, 2		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_159_part_2.png
159	3	Lower_Left	941f75a1-fea4-4539-ba69-60bb11608f6d		68, 2		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_159_part_3.png
159	4	Lower_Right	e733f289-a0ec-478c-aad9-1378ad26ddfa		64, 2		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_159_part_4.png
160	1	Upper_Left	eb59cf69-1997-41b9-bf69-69ad7da292a1		4, 3		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_160_part_1.png
160	2	Upper_Right	17dffffc-65d6-4209-9075-18a441001f0f		48, 1		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_160_part_2.png
160	3	Lower_Left	3258cb3b-f63b-463c-b2e4-d638149157c5		81, 2		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_160_part_3.png
160	4	Lower_Right	6e6962d8-34b8-431c-8220-42b0b92a410b		86, 1		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_160_part_4.png
161	1	Upper_Left	a515cf2d-e918-4958-9bf6-e611b425a97e		53, 2		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_161_part_1.png
161	2	Upper_Right	be3a7ef3-34ed-40e1-9d9c-187940596b26		71, 1		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_161_part_2.png
161	3	Lower_Left	ICGC_MB36		99, 2		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_161_part_3.png
161	4	Lower_Right	490eabca-4575-4bd6-9604-6b6e23d069ce		72, 4		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_161_part_4.png
162	1	Upper_Left	bfb07784-693b-4c25-874e-4ad6e04a5d46		58, 2		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_162_part_1.png
162	2	Upper_Right	c83d38fc-e011-4f75-a100-96513611f3e9		56, 3		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_162_part_2.png
162	3	Lower_Left	fafd4576-0709-49e1-926f-ad1ee09907ec		88, 3		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_162_part_3.png
162	4	Lower_Right	0bb786ee-07cf-4853-9b49-ec95cd14e282		66, 3		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_162_part_4.png
163	1	Upper_Left	8feb0e8f-d09b-437d-8651-0cdecfe776bf		75, 1		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_163_part_1.png
163	2	Upper_Right	8feb0e8f-d09b-437d-8651-0cdecfe776bf		75, 1		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_163_part_2.png
163	3	Lower_Left	OCCAMS-AH-071		39, 2		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_163_part_3.png
163	4	Lower_Right	OCCAMS-AH-131		53, 2		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_163_part_4.png
164	1	Upper_Left	OCCAMS-AH-135		55, 2		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_164_part_1.png
164	2	Upper_Right	OCCAMS-AH-135		55, 2		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_164_part_2.png
164	3	Lower_Left	OCCAMS-AH-143		46, 2		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_164_part_3.png
164	4	Lower_Right	OCCAMS-AH-213		57, 2		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_164_part_4.png
165	1	Upper_Left	OCCAMS-WG-005		38, 2		/Volumes/T7-shield/CS-Bachelor-Thesis/CNN_model/SV_graph.PCAWG/SV_graph.dataset3/page_165_part_1.png
